Date,FTSE 100
04/2000,10000
05/2000,10553.067848048828
06/2000,10486.49121105094
07/2000,10582.315265888725
08/2000,11143.45079865834
09/2000,10525.27019488081
10/2000,10773.781932866023
11/2000,10292.813766474106
12/2000,10445.537777648173
01/2001,10575.90040766265
02/2001,9970.114571192214
03/2001,9535.608667547313
04/2001,10128.951463870906
05/2001,9857.78150131276
06/2001,9607.688408276554
07/2001,9419.919006467167
08/2001,9152.014025303397
09/2001,8413.66978627343
10/2001,8655.419180560351
11/2001,8954.486106054992
12/2001,8982.346839682314
01/2002,8896.043985500814
02/2002,8822.256728801969
03/2002,9167.105161413961
04/2002,8668.88295928184
05/2002,9042.96123802519
06/2002,8446.355335939033
07/2002,7714.152014173379
08/2002,7726.718451149845
09/2002,6815.875710922451
10/2002,7408.192536645824
11/2002,7663.810944842714
12/2002,7250.434527127899
01/2003,6568.572274692912
02/2003,6767.378190226361
03/2003,6740.81559124668
04/2003,7294.203777465209
05/2003,7543.369814799818
06/2003,7524.320996852107
07/2003,7769.63991590891
08/2003,7833.920285983702
09/2003,7716.452624664879
10/2003,8095.449402319557
11/2003,8225.354871759646
12/2003,8461.303726597085
01/2004,8302.125271494002
02/2004,8521.48919756019
03/2004,8390.131495511627
04/2004,8555.655015593953
05/2004,8467.564980449648
06/2004,8069.28562189322
07/2004,8376.23484071182
08/2004,8124.682900997074
09/2004,8751.308191489254
10/2004,8859.393843775606
11/2004,9044.327290287854
12/2004,9221.795820912661
01/2005,8904.746028643325
02/2005,9563.741960091906
03/2005,9495.186531534173
04/2005,9332.476163014871
05/2005,9260.723769395254
06/2005,9997.704522816612
07/2005,10335.394261113555
08/2005,10435.29899974826
09/2005,10805.048813860807
10/2005,10041.866964811834
11/2005,10753.088087103235
12/2005,11089.613847785704
01/2006,11372.96337358008
02/2006,11469.483880124262
03/2006,11901.265083053619
04/2006,12008.608083860563
05/2006,11453.997775441443
06/2006,11704.65039906189
07/2006,11477.008322642314
08/2006,11939.72116205973
09/2006,12064.84821266948
10/2006,12413.1238194687
11/2006,12301.15096961428
12/2006,12542.112401105955
01/2007,12510.013134457264
02/2007,12483.227828879475
03/2007,12859.04748368247
04/2007,12821.411746799695
05/2007,13530.650622420024
06/2007,13538.560457916354
07/2007,13035.876917447293
08/2007,13009.35587851983
09/2007,13365.761855629278
10/2007,13919.662188049482
11/2007,13363.041695917062
12/2007,13103.653267781514
01/2008,12228.576851826834
02/2008,12285.734954330685
03/2008,11729.551286975133
04/2008,12862.68462991499
05/2008,12840.279516918981
06/2008,11686.016589331568
07/2008,11528.578029526176
08/2008,12089.278613150731
09/2008,10534.198893319974
10/2008,9422.926532716216
11/2008,9292.862325594499
12/2008,9391.43250283746
